[2026-03-13 08:50:05.024] Start experiment: 20260313_085004
[2026-03-13 08:50:05.031] Suite: cec2017
[2026-03-13 08:50:05.042] Primary budget maxFEs: 300000
[2026-03-13 08:50:05.384] Algorithm BBO | runnable=1 | entry=BBO | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=BBO uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.396] Algorithm SBO | runnable=1 | entry=SBO | budget=maxFEs | fe_mode=exact_fes_parameter | note=SBO uses MaxFEs directly; counted wrapper records used_FEs.
[2026-03-13 08:50:05.407] Algorithm HGS | runnable=1 | entry=HGS | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=HGS uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.415] Algorithm SMA | runnable=1 | entry=SMA | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=SMA uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.427] Algorithm HHO | runnable=1 | entry=HHO | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=HHO uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.434] Algorithm RUN | runnable=1 | entry=RUN | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=RUN uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.446] Algorithm INFO | runnable=1 | entry=INFO | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=INFO uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.457] Algorithm MGO | runnable=1 | entry=MGO | budget=maxFEs | fe_mode=exact_fes_parameter | note=MGO uses MaxFEs directly; counted wrapper records used_FEs.
[2026-03-13 08:50:05.467] Algorithm PLO | runnable=1 | entry=PLO | budget=maxFEs | fe_mode=exact_fes_parameter | note=PLO uses MaxFEs directly; counted wrapper records used_FEs.
[2026-03-13 08:50:05.476] Algorithm PO | runnable=1 | entry=PO | budget=max_iter | fe_mode=exact_derived_iteration_from_maxFEs | note=PO uses iteration budget; derived Max_iteration=9999 gives exact used_FEs=300000.
[2026-03-13 08:50:05.621] Running BBO on F1 ...
[2026-03-13 08:50:08.022] Done BBO F1 run 1/30: best=1520.12144958, used_FEs=300000/300000, t=2.3228s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:10.391] Done BBO F1 run 2/30: best=901.829162474, used_FEs=300000/300000, t=2.2974s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:13.071] Done BBO F1 run 3/30: best=662.757942903, used_FEs=300000/300000, t=2.6096s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:15.491] Done BBO F1 run 4/30: best=3388.55724409, used_FEs=300000/300000, t=2.3516s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:18.088] Done BBO F1 run 5/30: best=3581.07433322, used_FEs=300000/300000, t=2.5083s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:20.527] Done BBO F1 run 6/30: best=310.723284878, used_FEs=300000/300000, t=2.3742s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:22.850] Done BBO F1 run 7/30: best=1255.58105415, used_FEs=300000/300000, t=2.2539s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:25.137] Done BBO F1 run 8/30: best=1595.35954181, used_FEs=300000/300000, t=2.2231s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:27.360] Done BBO F1 run 9/30: best=209.958151064, used_FEs=300000/300000, t=2.1369s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:29.665] Done BBO F1 run 10/30: best=1906.33363006, used_FEs=300000/300000, t=2.2377s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:32.019] Done BBO F1 run 11/30: best=384.202493546, used_FEs=300000/300000, t=2.2656s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:34.343] Done BBO F1 run 12/30: best=493.989637546, used_FEs=300000/300000, t=2.2630s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:36.580] Done BBO F1 run 13/30: best=2383.6805136, used_FEs=300000/300000, t=2.1471s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:38.748] Done BBO F1 run 14/30: best=1259.10939625, used_FEs=300000/300000, t=2.0997s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:50:41.137] Done BBO F1 run 15/30: best=1333.66915151, used_FEs=300000/300000, t=2.3199s, mode=exact_derived_iteration_from_maxFEs, status=completed
