algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,16.3709081,3000
BBO_BASE,2,2621,2621,0,2621,2621,15.7463327,3000
BBO_BASE,3,847.758115073639,847.758115073639,0,847.758115073639,847.758115073639,16.4246746,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,16.6569717,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,16.1789557,3000
BBO_IMPROVED_V1,3,430.678979702354,430.678979702354,0,430.678979702354,430.678979702354,17.2621434,3000
BBO_IMPROVED_V2,1,26973.7780042316,26973.7780042316,0,26973.7780042316,26973.7780042316,16.0620508,3000
BBO_IMPROVED_V2,2,3190,3190,0,3190,3190,15.4731631,3000
BBO_IMPROVED_V2,3,1174.29377384492,1174.29377384492,0,1174.29377384492,1174.29377384492,17.4711172,3000
BBO_IMPROVED_V3,1,56810.9242182195,56810.9242182195,0,56810.9242182195,56810.9242182195,15.5260308,3000
BBO_IMPROVED_V3,2,5145,5145,0,5145,5145,15.7118914,3000
BBO_IMPROVED_V3,3,433.448900203376,433.448900203376,0,433.448900203376,433.448900203376,16.5646923,3000
MGO,1,148958047.939125,148958047.939125,0,148958047.939125,148958047.939125,16.1812759,3000
MGO,2,4312626,4312626,0,4312626,4312626,15.5548185,3000
MGO,3,12911.8282683336,12911.8282683336,0,12911.8282683336,12911.8282683336,15.7354962,3000
PLO,1,337492482.39714,337492482.39714,0,337492482.39714,337492482.39714,16.1546527,3000
PLO,2,116232368,116232368,0,116232368,116232368,15.9842769,3000
PLO,3,19217.5366759603,19217.5366759603,0,19217.5366759603,19217.5366759603,14.6680131,3000
SBO,1,49114864.9837378,49114864.9837378,0,49114864.9837378,49114864.9837378,15.5549595,3000
SBO,2,32225,32225,0,32225,32225,16.1070536,3000
SBO,3,4694.03346717962,4694.03346717962,0,4694.03346717962,4694.03346717962,16.1190858,3000
