algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,10.9214252,3000
BBO_BASE,2,2621,2621,0,2621,2621,11.8928075,3000
BBO_BASE,3,847.758115073639,847.758115073639,0,847.758115073639,847.758115073639,11.9392947,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,11.1956278,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,12.9817887,3000
BBO_IMPROVED_V1,3,430.678979702354,430.678979702354,0,430.678979702354,430.678979702354,11.7235443,3000
BBO_IMPROVED_V2,1,26973.7780042316,26973.7780042316,0,26973.7780042316,26973.7780042316,11.4094922,3000
BBO_IMPROVED_V2,2,3190,3190,0,3190,3190,11.4367275,3000
BBO_IMPROVED_V2,3,1174.29377384492,1174.29377384492,0,1174.29377384492,1174.29377384492,12.4702508,3000
BBO_IMPROVED_V3,1,56810.9242182195,56810.9242182195,0,56810.9242182195,56810.9242182195,11.4450994,3000
BBO_IMPROVED_V3,2,5145,5145,0,5145,5145,13.1535608,3000
BBO_IMPROVED_V3,3,433.448900203376,433.448900203376,0,433.448900203376,433.448900203376,11.9474255,3000
MGO,1,148958047.939125,148958047.939125,0,148958047.939125,148958047.939125,11.7646944,3000
MGO,2,4312626,4312626,0,4312626,4312626,12.0922872,3000
MGO,3,12911.8282683336,12911.8282683336,0,12911.8282683336,12911.8282683336,17.4926109,3000
PLO,1,337492482.39714,337492482.39714,0,337492482.39714,337492482.39714,11.7837313,3000
PLO,2,116232368,116232368,0,116232368,116232368,12.1079439,3000
PLO,3,19217.5366759603,19217.5366759603,0,19217.5366759603,19217.5366759603,11.6007813,3000
PO,1,558228056.924812,558228056.924812,0,558228056.924812,558228056.924812,11.4822193,3000
PO,2,20647266,20647266,0,20647266,20647266,11.3410404,3000
PO,3,8692.31888678049,8692.31888678049,0,8692.31888678049,8692.31888678049,11.4941149,3000
SBO,1,49114864.9837378,49114864.9837378,0,49114864.9837378,49114864.9837378,12.542392,3000
SBO,2,32225,32225,0,32225,32225,11.8807878,3000
SBO,3,4694.03346717962,4694.03346717962,0,4694.03346717962,4694.03346717962,20.7269683,3000
