algorithm_name,suite,function_id,run_id,seed,maxFEs,used_FEs,fe_control_mode,status,error_message
BBO_BASE,cec2017,1,1,20260314,800,800,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V1,cec2017,1,1,20261314,800,800,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V2,cec2017,1,1,20262314,800,800,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V3,cec2017,1,1,20263314,800,800,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=800, objective evaluation is stopped."
SBO,cec2017,1,1,20264314,800,800,exact_fes_parameter,completed,""
HGS,cec2017,1,1,20265314,800,780,exact_derived_iteration_from_maxFEs,completed,""
SMA,cec2017,1,1,20266314,800,780,exact_derived_iteration_from_maxFEs,completed,""
HHO,cec2017,1,1,20267314,800,800,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=800, objective evaluation is stopped."
RUN,cec2017,1,1,20268314,800,800,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=800, objective evaluation is stopped."
INFO,cec2017,1,1,20269314,800,800,exact_derived_iteration_from_maxFEs,completed,""
MGO,cec2017,1,1,20270314,800,800,exact_fes_parameter,completed,""
PLO,cec2017,1,1,20271314,800,800,exact_fes_parameter_with_hard_stop,stopped_at_budget,"Reached maxFEs=800, objective evaluation is stopped."
PO,cec2017,1,1,20272314,800,800,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=800, objective evaluation is stopped."
