algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,2345609.64291171,2345609.64291171,0,2345609.64291171,2345609.64291171,6.0268199,800
BBO_IMPROVED_V1,1,6694903.45720454,6694903.45720454,0,6694903.45720454,6694903.45720454,6.0877304,800
BBO_IMPROVED_V2,1,3298053.21949838,3298053.21949838,0,3298053.21949838,3298053.21949838,3.3677127,800
BBO_IMPROVED_V3,1,10187087.4357816,10187087.4357816,0,10187087.4357816,10187087.4357816,2.7232023,800
HGS,1,97012285.8067367,97012285.8067367,0,97012285.8067367,97012285.8067367,2.9627473,780
HHO,1,4579817593.42699,4579817593.42699,0,4579817593.42699,4579817593.42699,2.6987109,800
INFO,1,715774.223421584,715774.223421584,0,715774.223421584,715774.223421584,5.6344389,800
MGO,1,4086295793.1844,4086295793.1844,0,4086295793.1844,4086295793.1844,5.7666722,800
PLO,1,3506529925.09438,3506529925.09438,0,3506529925.09438,3506529925.09438,5.9241786,800
PO,1,4786025759.35151,4786025759.35151,0,4786025759.35151,4786025759.35151,5.8280039,800
RUN,1,1751484310.33722,1751484310.33722,0,1751484310.33722,1751484310.33722,5.8755379,800
SBO,1,2406912029.83942,2406912029.83942,0,2406912029.83942,2406912029.83942,2.9077883,800
SMA,1,17473749.6934294,17473749.6934294,0,17473749.6934294,17473749.6934294,2.8913397,780
