algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,17.6215192,3000
BBO_BASE,2,2621,2621,0,2621,2621,13.9074549,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,17.2178751,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,13.9012113,3000
BBO_IMPROVED_V3,1,11294.6493874815,11294.6493874815,0,11294.6493874815,11294.6493874815,17.1216092,3000
BBO_IMPROVED_V3,2,2303,2303,0,2303,2303,13.1525959,3000
BBO_IMPROVED_V4,1,12310815.5533474,12310815.5533474,0,12310815.5533474,12310815.5533474,16.7621678,3000
BBO_IMPROVED_V4,2,6406398,6406398,0,6406398,6406398,14.2593671,3000
MGO,1,148958047.939125,148958047.939125,0,148958047.939125,148958047.939125,14.4990204,3000
MGO,2,4312626,4312626,0,4312626,4312626,10.3392136,3000
PLO,1,337492482.39714,337492482.39714,0,337492482.39714,337492482.39714,14.1815066,3000
PLO,2,116232368,116232368,0,116232368,116232368,9.3317911,3000
SBO,1,49114864.9837378,49114864.9837378,0,49114864.9837378,49114864.9837378,16.4803333,3000
SBO,2,32225,32225,0,32225,32225,10.5571486,3000
