algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,0.0438303,3000
BBO,2,2621,2621,0,2621,2621,0.0239266,3000
HGS,1,123223.869572677,123223.869572677,0,123223.869572677,123223.869572677,0.107612,2970
HGS,2,362280,362280,0,362280,362280,0.0267994,2970
HHO,1,11943392584.1671,11943392584.1671,0,11943392584.1671,11943392584.1671,0.1563846,3000
HHO,2,125613763553,125613763553,0,125613763553,125613763553,0.0267178,3000
INFO,1,114.459505282072,114.459505282072,0,114.459505282072,114.459505282072,0.1262704,3000
INFO,2,7999,7999,0,7999,7999,0.0704473,3000
MGO,1,379681931.552567,379681931.552567,0,379681931.552567,379681931.552567,0.0691311,3000
MGO,2,1077120,1077120,0,1077120,1077120,0.0351449,3000
PLO,1,22932619367.9016,22932619367.9016,0,22932619367.9016,22932619367.9016,0.0943264,30
PLO,2,2.54373067209943e+15,2.54373067209943e+15,0,2.54373067209943e+15,2.54373067209943e+15,0.015934,30
PO,1,2967023749.21592,2967023749.21592,0,2967023749.21592,2967023749.21592,0.0623663,3000
PO,2,11959595060,11959595060,0,11959595060,11959595060,0.0326208,3000
RUN,1,5797030.12757863,5797030.12757863,0,5797030.12757863,5797030.12757863,0.1415742,3000
RUN,2,43698,43698,0,43698,43698,0.0877935,3000
SBO,1,23344476.1794194,23344476.1794194,0,23344476.1794194,23344476.1794194,0.0281279,3000
SBO,2,4161549,4161549,0,4161549,4161549,0.0221114,3000
SMA,1,56667.7485484736,56667.7485484736,0,56667.7485484736,56667.7485484736,0.057256,2970
SMA,2,42721,42721,0,42721,42721,0.0441748,2970
