algorithm_name,is_runnable,entry_name,algorithm_dir,budget_arg,fe_control_mode,note
V3_BASELINE,1,BBO_v3_baseline,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_baseline uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_FAST_SIMPLE_A,1,BBO_v3_fast_simple_A,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_fast_simple_A uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_FAST_SIMPLE_B,1,BBO_v3_fast_simple_B,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_fast_simple_B uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_DIR_LATE,1,BBO_v3_dir_late,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_dir_late uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_DIR_STAGNATION,1,BBO_v3_dir_stagnation,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_dir_stagnation uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_DIR_ELITE_ONLY,1,BBO_v3_dir_elite_only,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_dir_elite_only uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_DIR_SMALL_STEP,1,BBO_v3_dir_small_step,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_dir_small_step uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_HYBRID_A_DIR_STAG,1,BBO_v3_hybrid_A_dir_stag,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_hybrid_A_dir_stag uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
V3_HYBRID_B_DIR_SMALL,1,BBO_v3_hybrid_B_dir_small,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\improved\algorithms\BBO,max_iter,exact_derived_iteration_from_maxFEs,BBO_v3_hybrid_B_dir_small uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
BBO_BASE,1,BBO,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\baselines\metaheuristics\BBO\Source_code_BBO_MATLAB_VERSION_extracted\Source_code_BBO_MATLAB_VERSION\CEC2017,max_iter,exact_derived_iteration_from_maxFEs,BBO uses iteration budget; derived Max_iteration=99 gives exact used_FEs=3000.
SBO,1,SBO,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\baselines\metaheuristics\SBO\Status_based_Optimization_SBO_MATLAB_codes_extracted\Status-based Optimization (SBO)-2025,maxFEs,exact_fes_parameter,SBO uses MaxFEs directly; counted wrapper records used_FEs.
MGO,1,MGO,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\baselines\metaheuristics\SBO\Status_based_Optimization_SBO_MATLAB_codes_extracted\Moss Growth Optimization (MGO)-2024,maxFEs,exact_fes_parameter,MGO uses MaxFEs directly; counted wrapper records used_FEs.
PLO,1,PLO,D:\project\科研\metaopt_cec_lungct_project\src\benchmark\cec_runner\..\..\..\src\baselines\metaheuristics\SBO\Status_based_Optimization_SBO_MATLAB_codes_extracted\Polar Lights Optimizer (PLO)-2024,maxFEs,exact_fes_parameter,PLO uses MaxFEs directly; counted wrapper records used_FEs.
